aardvark-dns	1.4.0-5
accountsservice	23.13.9-2ubuntu6
acl	2.3.2-1build1.1
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
aglfn	1.7+git20191031.4036a9c-2
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.7
alsa-utils	1.2.9-1ubuntu5
amd-smi-lib	25.5.1.60403-128~24.04
amd64-microcode	3.20250311.1ubuntu0.24.04.1
amdgpu-core	1:6.2.60201-2038383.24.04
anacron	2.3-39ubuntu2
antigravity	1.11.5-1763627318
apg	2.2.3.dfsg.1-5build3
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.4
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-gtk	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-config-icons	1.0.2-1build6
apt-config-icons-hidpi	1.0.2-1build6
apt-utils	2.8.3
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
autoconf	2.71-3
autojump	22.5.1-1.1
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
avahi-daemon	0.8-13ubuntu6
baobab	46.0-1build1
base-files	13ubuntu10.3
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.2
bind9-host	1:9.18.39-0ubuntu0.24.04.2
bind9-libs	1:9.18.39-0ubuntu0.24.04.2
binutils	2.42-4ubuntu2.6
binutils-common	2.42-4ubuntu2.6
binutils-x86-64-linux-gnu	2.42-4ubuntu2.6
bluez	5.72-0ubuntu5.5
bluez-cups	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bolt	0.9.7-1
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
brave-browser	1.84.141
brave-keyring	1.19
brltty	6.6-4ubuntu5
bsdextrautils	2.39.3-9ubuntu6.3
bsdutils	1:2.39.3-9ubuntu6.3
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
buildah	1.33.7+ds1-1ubuntu0.24.04.3
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1build0.1
bzip2-doc	1.0.8-5.1build0.1
ca-certificates	20240203
ca-certificates-java	20240118
caca-utils	0.99.beta20-4build2
cargo	1.75.0+dfsg0ubuntu1-0ubuntu7.1
catatonit	0.1.7-1
chafa	1.14.0-1.1build1
chrome-gnome-shell	42.1-4
cloud-guest-utils	0.33-1
cloud-init	25.2-0ubuntu1~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
cmatrix	2.0-6
colord	1.4.7-1build2
colord-data	1.4.7-1build2
comgr	3.0.0.60403-128~24.04
command-not-found	23.04.0
composablekernel-dev	1.1.0.60403-128~24.04
conmon	2.1.10+ds1-1build2
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
containernetworking-plugins	1.1.1+ds1-3ubuntu0.24.04.3
coreutils	9.4-3ubuntu6.1
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
crun	1.14.1-1
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
cups	2.4.7-1.2ubuntu7.4
cups-browsed	2.0.0-0ubuntu10.3
cups-bsd	2.4.7-1.2ubuntu7.4
cups-client	2.4.7-1.2ubuntu7.4
cups-common	2.4.7-1.2ubuntu7.4
cups-core-drivers	2.4.7-1.2ubuntu7.4
cups-daemon	2.4.7-1.2ubuntu7.4
cups-filters	2.0.0-0ubuntu4.1
cups-filters-core-drivers	2.0.0-0ubuntu4.1
cups-ipp-utils	2.4.7-1.2ubuntu7.4
cups-pk-helper	0.2.6-1ubuntu8
cups-ppdc	2.4.7-1.2ubuntu7.4
cups-server-common	2.4.7-1.2ubuntu7.4
curl	8.5.0-2ubuntu10.6
cursor	2.1.20-1763823856
dangerzone	0.9.1
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.1
